run_id,model_id,provider,eval_date_utc,pair_id,family,item_id,part,raw_response,parsed_binary,invalid_reason,latency_ms
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-29,FB,29,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-29,FB,29,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-9,FB,9,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-9,FB,9,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-7,FB,7,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-7,FB,7,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,PP-22,PP,22,a,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,PP-22,PP,22,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-3,FF,3,a,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-3,FF,3,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-33,FF,33,a,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-33,FF,33,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-25,LR,25,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-25,LR,25,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,PP-14,PP,14,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,PP-14,PP,14,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,PP-19,PP,19,a,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,PP-19,PP,19,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-49,FB,49,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-49,FB,49,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-53,FB,53,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-53,FB,53,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-61,FB,61,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-61,FB,61,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-34,FF,34,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-34,FF,34,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-39,FB,39,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-39,FB,39,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-58,FB,58,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-58,FB,58,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-56,LR,56,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-56,LR,56,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-59,LR,59,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-59,LR,59,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-12,FB,12,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-12,FB,12,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-75,LR,75,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-75,LR,75,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-81,FF,81,a,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-81,FF,81,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-69,FB,69,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-69,FB,69,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-107,LR,107,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-107,LR,107,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-114,FF,114,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FF-114,FF,114,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-10,FB,10,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-10,FB,10,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-110,LR,110,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-110,LR,110,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-84,LR,84,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-84,LR,84,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-109,FB,109,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-109,FB,109,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-95,LR,95,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-95,LR,95,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-85,LR,85,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-85,LR,85,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-118,LR,118,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-118,LR,118,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-124,FB,124,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-124,FB,124,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-139,FB,139,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-139,FB,139,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-64,LR,64,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,LR-64,LR,64,b,FALSE,FALSE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-126,FB,126,a,TRUE,TRUE,,140
run_gemini_spark_consistency_v2_001,gemini-spark,google,2026-08-13T00:39:00Z,FB-126,FB,126,b,FALSE,FALSE,,140
