run_id,model_id,provider,eval_date_utc,item_id,relation,raw_response,parsed_taxonomy,invalid_reason,latency_ms
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,14,perpendicular to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,19,parallel to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,22,perpendicular to,intrinsic_orientation_ambiguous,intrinsic_orientation_ambiguous,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,33,facing away from,annotation_questionable,annotation_questionable,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,34,facing away from,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,114,facing,subject_reference_inversion,subject_reference_inversion,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,156,facing away from,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,213,facing,front_back_object_ambiguous,front_back_object_ambiguous,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,239,facing away from,annotation_questionable,annotation_questionable,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,250,facing,front_back_object_ambiguous,front_back_object_ambiguous,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,356,facing,annotation_questionable,annotation_questionable,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,362,facing,camera_viewpoint_ambiguity,camera_viewpoint_ambiguity,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,375,facing,clear_image_model_reasoning_failure,clear_image_model_reasoning_failure,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,424,facing,front_back_object_ambiguous,front_back_object_ambiguous,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,439,facing away from,front_back_object_ambiguous,front_back_object_ambiguous,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,508,parallel to,small_occluded_object,small_occluded_object,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,558,facing away from,small_occluded_object,small_occluded_object,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,564,facing away from,small_occluded_object,small_occluded_object,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,565,perpendicular to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,582,facing,intrinsic_orientation_ambiguous,intrinsic_orientation_ambiguous,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,657,facing,subject_reference_inversion,subject_reference_inversion,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,676,parallel to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
gpt-5.6-sol-interactive-vision-20260812,GPT-5.6 Sol,OpenAI,2026-08-12T18:57:18Z,834,perpendicular to,parallel_perpendicular_geometry,parallel_perpendicular_geometry,,
