item_id,relation,statement,image_file,raw_response,parsed_binary,notes
3,facing,The laptop is facing the sandwich.,id3.jpg,FALSE,FALSE,The image contains a handwritten document list and does not depict a laptop or a sandwich.
14,perpendicular to,The airplane is perpendicular to the truck.,id14.jpg,TRUE,TRUE,The catering truck is positioned perpendicular (at a 90-degree angle) relative to the aircraft's body.
19,parallel to,The truck is parallel to the motorcycle.,id19.jpg,FALSE,FALSE,The truck and motorcycle do not show a parallel spatial alignment.
22,perpendicular to,The teddy bear is perpendicular to the cake.,id22.jpg,FALSE,FALSE,The teddy bear and cake do not exhibit a perpendicular 90-degree spatial relationship.
33,facing away from,The cat is facing away from the sink.,id33.jpg,FALSE,FALSE,The cat is oriented facing directly toward the sink rather than away from it.
34,facing away from,The cat is facing away from the toilet.,id34.jpg,TRUE,TRUE,The cat is positioned with its back turned toward the toilet.
81,facing away from,The cat is facing away from the tv.,id81.jpg,FALSE,FALSE,The image is a photo of a TV sports broadcast screen; no cat is present.
106,facing away from,The parking meter is facing away from the person.,id106.jpg,FALSE,FALSE,The parking meter is oriented facing toward the person working on it.
114,facing,The person is facing the book.,id114.jpg,TRUE,TRUE,The person is oriented looking directly at the book.
156,facing away from,The person is facing away from the horse.,id156.jpg,FALSE,FALSE,The person is turned toward the horse rather than facing away from it.
170,facing away from,The person is facing away from the cow.,id170.jpg,TRUE,TRUE,The person is turned away from the cow in the field.
171,facing,The teddy bear is facing the cow.,id171.jpg,FALSE,FALSE,The teddy bear is not oriented facing toward the cow.
189,parallel to,The bus is parallel to the motorcycle.,id189.jpg,TRUE,TRUE,The bus and motorcycle are aligned in parallel along the roadway.
211,facing away from,The bus is facing away from the cow.,id211.jpg,TRUE,TRUE,The bus is directed away from the location of the cow.
213,facing,The laptop is facing the sandwich.,id213.jpg,TRUE,TRUE,The open laptop screen and keyboard face the sandwich placed directly in front of it.
230,facing away from,The teddy bear is facing away from the book.,id230.jpg,TRUE,TRUE,The teddy bear is positioned with its back turned toward the book.
239,facing away from,The cat is facing away from the toilet.,id239.jpg,FALSE,FALSE,The cat is facing toward the toilet rather than away from it.
250,facing,The laptop is facing the chair.,id250.jpg,TRUE,TRUE,The open laptop screen faces directly toward the chair across from it.
280,facing,The person is facing the teddy bear.,id280.jpg,TRUE,TRUE,The person's body and gaze are oriented directly toward the teddy bear.
356,facing,The dog is facing the boat.,id356.jpg,TRUE,TRUE,The dog is standing on the dock/shore facing toward the boat.
357,facing,The person is facing the bear.,id357.jpg,TRUE,TRUE,The person is oriented looking directly at the bear.
359,facing,The zebra is facing the car.,id359.jpg,FALSE,FALSE,The zebra is oriented sideways/away relative to the car.
362,facing,The cat is facing the keyboard.,id362.jpg,TRUE,TRUE,The cat is sitting directly in front of and facing the keyboard.
364,facing,The cat is facing the tv.,id364.jpg,TRUE,TRUE,The cat is sitting facing toward the television screen.
